time,heal_pos0,heal_pos1,heal_pos2,heal_pos3,heal_pos4,heal_pos5,heal_pos6,heal_vel0,heal_vel1,heal_vel2,heal_vel3,heal_vel4,heal_vel5,heal_vel6,heal_effort0,heal_effort1,heal_effort2,heal_effort3,heal_effort4,heal_effort5,heal_effort6,fr3_pos0,fr3_pos1,fr3_pos2,fr3_pos3,fr3_pos4,fr3_pos5,fr3_pos6,fr3_vel0,fr3_vel1,fr3_vel2,fr3_vel3,fr3_vel4,fr3_vel5,fr3_vel6,fr3_effort0,fr3_effort1,fr3_effort2,fr3_effort3,fr3_effort4,fr3_effort5,fr3_effort6
1750014955.951129,0.046835,0.103779,0.008552,-0.173659,0.201496,-0.00436,,0.029921,0.078397,0.009978,-0.131089,0.150661,0.008576,,4.45815,-24.7924,15.7686,1.20875,0.136548,1.16978,,-0.001452,-0.703168,-0.004987,-2.463716,-0.003301,1.760603,0.774459,-0.001713,0.075578,-0.003886,-0.065449,-0.00463,0.144537,-0.001587,0.169727,-6.629613,-1.140031,22.862007,0.241587,2.379689,-0.214186
1750014957.384233,0.086889,0.220805,0.030101,-0.360015,0.411905,0.021417,,0.026735,0.085895,0.022914,-0.130634,0.142336,0.023393,,3.53015,-23.8032,16.6324,1.27771,0.136642,1.07192,,-0.003898,-0.572975,-0.010287,-2.535155,-0.006078,1.962356,0.770041,-0.003537,0.103956,-0.004846,-0.034316,-0.003155,0.141311,-0.003885,0.169727,-10.362828,-0.933732,22.616035,0.241587,2.347646,-0.207777
1750014957.417392,0.087824,0.2238,0.030868,-0.364507,0.416864,0.022219,,0.027514,0.084985,0.020614,-0.12801,0.142468,0.022627,,3.17609,-25.3553,16.6058,1.31618,0.123789,1.07959,,-0.003942,-0.569269,-0.010404,-2.536325,-0.00613,1.967247,0.769931,-0.002457,0.11004,-0.00205,-0.036473,-0.002763,0.140435,-0.004216,0.094349,-10.616735,-0.961503,22.639839,0.247996,2.347646,-0.200453
1750014957.451097,0.08798,0.224315,0.030988,-0.365262,0.417678,0.022339,,0.026196,0.08429,0.021249,-0.129328,0.145391,0.023525,,3.22032,-26.6375,16.6205,1.38685,0.072984,1.10797,,-0.003993,-0.565507,-0.010537,-2.53753,-0.006182,1.972035,0.769826,-0.002437,0.113471,-0.004055,-0.03548,-0.001123,0.141109,-0.004106,0.118152,-11.20786,-0.933732,22.885811,0.241587,2.393422,-0.207777
1750014957.484275,0.089057,0.22798,0.031922,-0.370748,0.423751,0.023441,,0.023094,0.083991,0.02398,-0.128322,0.140228,0.025897,,2.50298,-27.216,17.0215,1.27043,0.176331,1.11157,,-0.004047,-0.561793,-0.010668,-2.538692,-0.00623,1.976911,0.769731,-0.001127,0.106311,-0.003604,-0.033493,-9.1e-05,0.143054,-0.003149,0.066578,-11.128514,-0.909928,22.838203,0.241587,2.379689,-0.207777
1750014957.517568,0.090004,0.231298,0.032856,-0.375814,0.429333,0.024411,,0.024663,0.085272,0.023956,-0.128825,0.142947,0.024136,,1.93782,-25.845,17.2213,1.38469,0.153459,1.15792,,-0.004097,-0.55817,-0.010796,-2.539793,-0.006281,1.981731,0.769621,-0.001726,0.106336,-0.004407,-0.031572,-0.001659,0.143197,-0.003972,0.066578,-10.846837,-0.909928,22.691414,0.254405,2.340321,-0.214186
1750014957.550707,0.091034,0.234844,0.033802,-0.381133,0.435238,0.025394,,0.026112,0.086638,0.023226,-0.128202,0.142061,0.023489,,2.12373,-25.5537,17.3768,1.21889,0.27877,1.18164,,-0.004154,-0.55437,-0.010924,-2.540842,-0.00632,1.986513,0.769516,-0.002294,0.111415,-0.003688,-0.032947,-0.001001,0.13929,-0.002053,0.094349,-11.334813,-0.83455,22.639839,0.222361,2.333913,-0.234328
1750014957.584353,0.092076,0.238257,0.034725,-0.386223,0.440976,0.02634,,0.025286,0.087081,0.022603,-0.127436,0.144013,0.024723,,1.84591,-24.7876,17.4688,0.992781,0.15422,1.21674,,-0.004204,-0.55047,-0.011051,-2.542007,-0.006371,1.991416,0.769412,-0.001821,0.110823,-0.003796,-0.032337,-0.000388,0.142377,-0.001933,0.042774,-11.71964,-0.909928,23.012764,0.215037,2.426381,-0.240736
1750014957.617519,0.092076,0.238257,0.034725,-0.386223,0.440976,0.02634,,0.025286,0.087081,0.022603,-0.127436,0.144013,0.024723,,1.84589,-24.7876,17.4688,0.992775,0.154231,1.21674,,-0.004264,-0.546819,-0.011166,-2.543014,-0.006418,1.996267,0.7693,-0.001782,0.108353,-0.001498,-0.03064,-0.002541,0.148598,-0.002334,0.066578,-10.977757,-0.961503,22.691414,0.247996,2.360463,-0.234328
1750014957.651034,0.093178,0.242042,0.035767,-0.391853,0.447156,0.02743,,0.023106,0.084997,0.024962,-0.129172,0.142444,0.026005,,0.764581,-26.0851,16.7174,1.09495,0.177089,1.25998,,-0.004311,-0.542996,-0.011294,-2.543937,-0.006458,2.001154,0.769199,-0.002156,0.11502,-0.003834,-0.028024,-0.002218,0.141383,-0.004722,0.042774,-11.461766,-0.909928,22.417671,0.222361,2.354054,-0.227003
