time,v_c_0,v_c_1,v_c_2,v_c_3,v_c_4,v_c_5
9.059906005859375e-06,0.0,0.0,0.0,0.0,0.0,0.0
0.01021265983581543,0.0,0.0,-0.15,0.0,0.0,0.0
0.020169734954833984,0.0,0.0,-0.15,0.0,0.0,0.0
0.03021383285522461,0.0,0.0,-0.16498547889751236,0.0,0.0,0.0
0.04017829895019531,0.0,0.0,-0.16498547889751236,0.0,0.0,0.0
0.05028223991394043,0.0,0.0,-0.16498547889751236,0.0,0.0,0.0
0.06020760536193848,0.0,0.0,-0.16498547889751236,0.0,0.0,0.0
0.07030177116394043,0.0,0.0,-0.16496709223532505,0.0,0.0,0.0
0.0802314281463623,0.0,0.0,-0.16496709223532505,0.0,0.0,0.0
0.09022188186645508,0.0,0.0,-0.16496709223532505,0.0,0.0,0.0
0.10020208358764648,0.0,0.0,-0.16452509210284047,0.0,0.0,0.0
0.11047887802124023,0.0,0.0,-0.16452509210284047,0.0,0.0,0.0
0.12019181251525879,0.0,0.0,-0.16452509210284047,0.0,0.0,0.0
0.13027429580688477,0.0,0.0,-0.16486392708328054,0.0,0.0,0.0
0.1402266025543213,0.0,0.0,-0.16486392708328054,0.0,0.0,0.0
0.15026354789733887,0.0,0.0,-0.16486392708328054,0.0,0.0,0.0
0.16019058227539062,0.0,0.0,-0.16486392708328054,0.0,0.0,0.0
0.17014813423156738,0.0,0.0,-0.16467982323579405,0.0,0.0,0.0
0.18008089065551758,0.0,0.0,-0.16467982323579405,0.0,0.0,0.0
0.19023966789245605,0.0,0.0,-0.16467982323579405,0.0,0.0,0.0
0.20018458366394043,0.0,0.0,-0.16492000490673372,0.0,0.0,0.0
0.21040558815002441,0.0,0.0,-0.16492000490673372,0.0,0.0,0.0
0.2203235626220703,0.0,0.0,-0.16492000490673372,0.0,0.0,0.0
0.23026585578918457,0.0,0.0,-0.16492000490673372,0.0,0.0,0.0
0.2403566837310791,0.0,0.0,-0.16457362767439623,0.0,0.0,0.0
0.250255823135376,0.0,0.0,-0.16457362767439623,0.0,0.0,0.0
