time,lambda_meas_0,lambda_meas_1,lambda_meas_2,lambda_meas_3,lambda_meas_4,lambda_meas_5,lambda_star_0,lambda_star_1,lambda_star_2,lambda_star_3,lambda_star_4,lambda_star_5
6.9141387939453125e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0
0.010146141052246094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0
0.02060246467590332,1.1346270383982686,0.09147827859620748,0.8905582364776912,0.37521316480828953,0.6358856155375462,0.39767868207590573,0.0,0.0,-5.0,0.0,0.0,0.0
0.03014373779296875,1.1346270383982686,0.09147827859620748,0.8905582364776912,0.37521316480828953,0.6358856155375462,0.39767868207590573,0.0,0.0,-5.0,0.0,0.0,0.0
0.04007387161254883,1.1346270383982686,0.09147827859620748,0.8905582364776912,0.37521316480828953,0.6358856155375462,0.39767868207590573,0.0,0.0,-5.0,0.0,0.0,0.0
0.050099849700927734,1.1008890115145993,0.1219363814017695,0.8894774247845431,0.35210481741968225,0.6110256153206054,0.40866212665787305,0.0,0.0,-5.0,0.0,0.0,0.0
0.06013965606689453,1.1008890115145993,0.1219363814017695,0.8894774247845431,0.35210481741968225,0.6110256153206054,0.40866212665787305,0.0,0.0,-5.0,0.0,0.0,0.0
0.07020449638366699,1.1008890115145993,0.1219363814017695,0.8894774247845431,0.35210481741968225,0.6110256153206054,0.40866212665787305,0.0,0.0,-5.0,0.0,0.0,0.0
0.0802004337310791,1.1008890115145993,0.1219363814017695,0.8894774247845431,0.35210481741968225,0.6110256153206054,0.40866212665787305,0.0,0.0,-5.0,0.0,0.0,0.0
0.09023380279541016,1.0557863740175522,0.10586239083020751,0.9227380041403702,0.3615246349809221,0.5711053189670795,0.40500963446703836,0.0,0.0,-5.0,0.0,0.0,0.0
0.10019350051879883,1.0557863740175522,0.10586239083020751,0.9227380041403702,0.3615246349809221,0.5711053189670795,0.40500963446703836,0.0,0.0,-5.0,0.0,0.0,0.0
0.11020612716674805,1.0557863740175522,0.10586239083020751,0.9227380041403702,0.3615246349809221,0.5711053189670795,0.40500963446703836,0.0,0.0,-5.0,0.0,0.0,0.0
0.12154722213745117,0.9937162756471564,0.10113154218282268,0.941971641304415,0.36938498920361734,0.5244696021295737,0.4035340499239961,0.0,0.0,-5.0,0.0,0.0,0.0
0.13022756576538086,0.9937162756471564,0.10113154218282268,0.941971641304415,0.36938498920361734,0.5244696021295737,0.4035340499239961,0.0,0.0,-5.0,0.0,0.0,0.0
0.1401960849761963,0.9937162756471564,0.10113154218282268,0.941971641304415,0.36938498920361734,0.5244696021295737,0.4035340499239961,0.0,0.0,-5.0,0.0,0.0,0.0
0.15020322799682617,0.9937162756471564,0.10113154218282268,0.941971641304415,0.36938498920361734,0.5244696021295737,0.4035340499239961,0.0,0.0,-5.0,0.0,0.0,0.0
0.1602165699005127,0.9882922731116125,0.12271302261381788,0.9090116230385497,0.35475871090870315,0.5305261455095561,0.411171296280706,0.0,0.0,-5.0,0.0,0.0,0.0
0.1702132225036621,0.9882922731116125,0.12271302261381788,0.9090116230385497,0.35475871090870315,0.5305261455095561,0.411171296280706,0.0,0.0,-5.0,0.0,0.0,0.0
0.18018317222595215,0.9882922731116125,0.12271302261381788,0.9090116230385497,0.35475871090870315,0.5305261455095561,0.411171296280706,0.0,0.0,-5.0,0.0,0.0,0.0
