time,qdot_0,qdot_1,qdot_2,qdot_3,qdot_4,qdot_5,qdot_6
2.5272369384765625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010138750076293945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.020181894302368164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.030142784118652344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04018545150756836,4.590663689637824e-05,-0.015305809846204605,-1.676868723362059e-05,-0.0672505253178003,2.3402119370634483e-06,0.05194435110621664,0.00018733592926411814
0.05019259452819824,4.5810996902300846e-05,-0.015273922353196896,-1.6733752042194364e-05,-0.06711041834682759,2.335336436026293e-06,0.05183613238735544,0.0001869456413149977
0.06017351150512695,4.5810996902300846e-05,-0.015273922353196896,-1.6733752042194364e-05,-0.06711041834682759,2.335336436026293e-06,0.05183613238735544,0.0001869456413149977
0.07033133506774902,4.57420787239894e-05,-0.01527396459933122,-1.6770237857553336e-05,-0.0671104027112536,2.279163712060617e-06,0.05183607507143336,0.00018681002767578797
0.08035993576049805,4.57420787239894e-05,-0.01527396459933122,-1.6770237857553336e-05,-0.0671104027112536,2.279163712060617e-06,0.05183607507143336,0.00018681002767578797
0.09036850929260254,4.575428154736872e-05,-0.01527803930466834,-1.6774711730545416e-05,-0.06712830606007475,2.279771734979703e-06,0.051849903618067426,0.00018685986384057987
0.10036063194274902,4.575428154736872e-05,-0.01527803930466834,-1.6774711730545416e-05,-0.06712830606007475,2.279771734979703e-06,0.051849903618067426,0.00018685986384057987
0.11035466194152832,4.58077860317011e-05,-0.015278175404826929,-1.6754554157456226e-05,-0.06712838328218679,2.315623781639799e-06,0.05184984423139231,0.00018698414773366196
0.12036275863647461,4.597003469649318e-05,-0.01533228986384437,-1.681389786901112e-05,-0.06736614833264454,2.323825594023218e-06,0.05203349353481855,0.00018764643532568996
0.1303572654724121,4.597003469649318e-05,-0.01533228986384437,-1.681389786901112e-05,-0.06736614833264454,2.323825594023218e-06,0.05203349353481855,0.00018764643532568996
0.140364408493042,4.600678829139218e-05,-0.015332391501031845,-1.677966263544336e-05,-0.06736622613660298,2.367937985378851e-06,0.05203346953529072,0.0001876813122675205
0.15027213096618652,4.603174756603486e-05,-0.015340709520711456,-1.6788765818336218e-05,-0.06740277318112031,2.3692226222054773e-06,0.05206169836205683,0.0001877831317944241
0.1602921485900879,4.603174756603486e-05,-0.015340709520711456,-1.6788765818336218e-05,-0.06740277318112031,2.3692226222054773e-06,0.05206169836205683,0.0001877831317944241
0.1703646183013916,4.599306496403212e-05,-0.015340831267021775,-1.6819279144078657e-05,-0.06740288583105583,2.3288877701919107e-06,0.05206168949862766,0.00018773046684718455
0.1802351474761963,4.599306496403212e-05,-0.015340831267021775,-1.6819279144078657e-05,-0.06740288583105583,2.3288877701919107e-06,0.05206168949862766,0.00018773046684718455
0.1902458667755127,4.5612294584144645e-05,-0.015213826594602105,-1.6680034601143053e-05,-0.066844866432621,2.3096072225340247e-06,0.05163067779493976,0.00018617627163897748
0.2001945972442627,4.5612294584144645e-05,-0.015213826594602105,-1.6680034601143053e-05,-0.066844866432621,2.3096072225340247e-06,0.05163067779493976,0.00018617627163897748
0.21023058891296387,4.559095860172087e-05,-0.015213460343156312,-1.662835940375005e-05,-0.06684457243406929,2.3455567683143233e-06,0.051630750752500426,0.00018598809605204538
0.22023367881774902,4.4927807968678066e-05,-0.014992170504847123,-1.638648892321482e-05,-0.06587227393707179,2.311439094471713e-06,0.0508797473497182,0.00018328277623824607
0.2302248477935791,4.4927807968678066e-05,-0.014992170504847123,-1.638648892321482e-05,-0.06587227393707179,2.311439094471713e-06,0.0508797473497182,0.00018328277623824607
0.24020695686340332,4.503192628408773e-05,-0.014992312970030133,-1.635044836629569e-05,-0.06587238082804023,2.381146905026102e-06,0.05087971076621228,0.0001835301888403831
0.2502295970916748,4.503192628408773e-05,-0.014992312970030133,-1.635044836629569e-05,-0.06587238082804023,2.381146905026102e-06,0.05087971076621228,0.0001835301888403831
0.2603292465209961,4.633318734992792e-05,-0.01542553701271748,-1.6822917648064103e-05,-0.06777585624112765,2.4499535054812816e-06,0.05234995181794088,0.0001888335526724712
0.2702209949493408,4.625973321958134e-05,-0.01542587874193592,-1.6866306716342805e-05,-0.0677756273705642,2.381983242558655e-06,0.05234938177205842,0.00018870167162108033
0.28019022941589355,4.625973321958134e-05,-0.01542587874193592,-1.6866306716342805e-05,-0.0677756273705642,2.381983242558655e-06,0.05234938177205842,0.00018870167162108033
0.29024529457092285,4.625973321958134e-05,-0.01542587874193592,-1.6866306716342805e-05,-0.0677756273705642,2.381983242558655e-06,0.05234938177205842,0.00018870167162108033
0.30019116401672363,3.5999967582853356e-05,-0.012004633317073542,-1.312559439434437e-05,-0.05274393556630073,1.8536924782504735e-06,0.04073901675634378,0.00014685026454743164
0.31017065048217773,3.588371526585152e-05,-0.011930815925335037,-1.3066672914903188e-05,-0.052684232754853046,1.6156857657772745e-06,0.04075313069036195,0.0001470639354895261
0.3200676441192627,3.588371526585152e-05,-0.011930815925335037,-1.3066672914903188e-05,-0.052684232754853046,1.6156857657772745e-06,0.04075313069036195,0.0001470639354895261
0.3300943374633789,3.588371526585152e-05,-0.011930815925335037,-1.3066672914903188e-05,-0.052684232754853046,1.6156857657772745e-06,0.04075313069036195,0.0001470639354895261
0.340179443359375,3.160541155050151e-05,-0.01050021410499681,-1.1488623266403702e-05,-0.046664891683231444,1.1986224753821857e-06,0.03616442469637817,0.00013026046505149248
