time,lambda_meas_0,lambda_meas_1,lambda_meas_2,lambda_meas_3,lambda_meas_4,lambda_meas_5,lambda_star_0,lambda_star_1,lambda_star_2,lambda_star_3,lambda_star_4,lambda_star_5
2.5272369384765625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
0.010138750076293945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
0.020181894302368164,1.1693053955547983,0.10838747730105139,1.2474952421752503,0.40150577055800507,0.6245384564475147,0.38799916797690154,0.0,0.0,-1.0,0.0,0.0,0.0
0.030142784118652344,1.1693053955547983,0.10838747730105139,1.2474952421752503,0.40150577055800507,0.6245384564475147,0.38799916797690154,0.0,0.0,-1.0,0.0,0.0,0.0
0.04018545150756836,1.1693053955547983,0.10838747730105139,1.2474952421752503,0.40150577055800507,0.6245384564475147,0.38799916797690154,0.0,0.0,-1.0,0.0,0.0,0.0
0.05019259452819824,1.2389207116689487,0.13028497400834685,1.242812903276502,0.38197774487867825,0.672723185664072,0.3887298251768294,0.0,0.0,-1.0,0.0,0.0,0.0
0.06017351150512695,1.2389207116689487,0.13028497400834685,1.242812903276502,0.38197774487867825,0.672723185664072,0.3887298251768294,0.0,0.0,-1.0,0.0,0.0,0.0
0.07033133506774902,1.2389207116689487,0.13028497400834685,1.242812903276502,0.38197774487867825,0.672723185664072,0.3887298251768294,0.0,0.0,-1.0,0.0,0.0,0.0
0.08035993576049805,1.2389207116689487,0.13028497400834685,1.242812903276502,0.38197774487867825,0.672723185664072,0.3887298251768294,0.0,0.0,-1.0,0.0,0.0,0.0
0.09036850929260254,1.18035586199939,0.10753502277279145,1.2434112287242083,0.4021509896524719,0.6318129814900162,0.3819233826666384,0.0,0.0,-1.0,0.0,0.0,0.0
0.10036063194274902,1.18035586199939,0.10753502277279145,1.2434112287242083,0.4021509896524719,0.6318129814900162,0.3819233826666384,0.0,0.0,-1.0,0.0,0.0,0.0
0.11035466194152832,1.18035586199939,0.10753502277279145,1.2434112287242083,0.4021509896524719,0.6318129814900162,0.3819233826666384,0.0,0.0,-1.0,0.0,0.0,0.0
